Processor;Model;Cores 1;Cores 2;Threads;Integrated graphics;CodeName
Xeon;W-11555MLE;6;0;12;UHD Graphics for 11th Gen Processors;Tiger Lake
Xeon;W-11155MRE;4;0;8;UHD Graphics for 11th Gen Processors;Tiger Lake
Xeon;W-11155MLE;4;0;8;UHD Graphics for 11th Gen Processors;Tiger Lake
Core i9;11980HK;8;0;16;UHD Graphics for 11th Gen Processors;Tiger Lake
Core i9;11950H;8;0;16;UHD Graphics for 11th Gen Processors;Tiger Lake
Core i9;11900H;8;0;16;UHD Graphics for 11th Gen Processors;Tiger Lake
Core i7;11850HE;8;0;16;UHD Graphics for 11th Gen Processors;Tiger Lake
Core i7;11850H;8;0;16;UHD Graphics for 11th Gen Processors;Tiger Lake
Core i7;11800H;8;0;16;UHD Graphics for 11th Gen Processors;Tiger Lake
Core i7;11850H;8;0;16;UHD Graphics for 11th Gen Processors;Tiger Lake
Core i7;11600H;6;0;12;UHD Graphics for 11th Gen Processors;Tiger Lake
Core i7;11390H;4;0;8;UHD Graphics for 11th Gen Processors;Tiger Lake
Core i7;11375H;4;0;8;UHD Graphics for 11th Gen Processors;Tiger Lake
Core i7;11370H w/ IPU;4;0;8;UHD Graphics for 11th Gen Processors;Tiger Lake
Core i7;11370H w/ IPU;4;0;8;UHD Graphics for 11th Gen Processors;Tiger Lake
Core i7;11375H w/ IPU;4;0;8;UHD Graphics for 11th Gen Processors;Tiger Lake
Core i7;1195G7;4;0;8;UHD Graphics for 11th Gen Processors;Tiger Lake
Core i7;1195G7 w/ IPU;4;0;8;UHD Graphics for 11th Gen Processors;Tiger Lake
Core i7;1185GRE;4;0;8;UHD Graphics for 11th Gen Processors;Tiger Lake
Core i7;1185G7E;4;0;8;UHD Graphics for 11th Gen Processors;Tiger Lake
Core i7;1165G7;4;0;8;UHD Graphics for 11th Gen Processors;Tiger Lake
Core i7;1185G7 w/ IPU;4;0;8;UHD Graphics for 11th Gen Processors;Tiger Lake
Core i7;1165G7 w/ IPU;4;0;8;UHD Graphics for 11th Gen Processors;Tiger Lake
Core i7;1180G7 w/ IPU;4;0;8;UHD Graphics for 11th Gen Processors;Tiger Lake
Core i7;1160G7 w/ IPU;4;0;8;UHD Graphics for 11th Gen Processors;Tiger Lake
Core i5;11500H;6;0;12;UHD Graphics for 11th Gen Processors;Tiger Lake
Core i5;11500HE;6;0;12;UHD Graphics for 11th Gen Processors;Tiger Lake
